scope,model,group_type,group,target,n,mae,wape,r2_original,bias,sse,nonpositive
4004,M5,SIDO_NM,강원특별자치도,amt,11,2344342439.55246,0.997257279277374,-1.57490790448411,0.757855748496445,1.86344284409783e+20,0
4004,M5,SIDO_NM,강원특별자치도,cnt,11,39492.1258505052,0.705601406539211,-0.13157114425197,0.485137127809911,44263705588.6922,0
4004,M5,SIDO_NM,강원특별자치도,ticket,11,8266.06464570515,0.224300863332708,0.0641222043404518,0.090392972367435,1048017969.85376,0
4004,M5,SIDO_NM,경기도,amt,41,7549540396.79087,0.694027000489931,-0.499079083723575,0.150073594652624,4.24275935936943e+21,0
4004,M5,SIDO_NM,경기도,cnt,41,148211.84955948,0.515444876604808,-0.0470780586557236,0.123022616834047,1521832741100.58,0
4004,M5,SIDO_NM,경기도,ticket,41,8993.31718595318,0.244959295041669,0.102144155740939,-0.0595963700888449,12298445380.0996,0
4004,M5,SIDO_NM,경상남도,amt,15,2817548012.5332,0.342521410519842,0.6570408631539,-0.230795652995088,1.84393075453578e+20,0
4004,M5,SIDO_NM,경상남도,cnt,15,100601.287914461,0.40190518161192,0.532184359354284,-0.387736429122053,242539743607.5,0
4004,M5,SIDO_NM,경상남도,ticket,15,4284.83908793204,0.130995994091694,-0.919515304117111,0.0919482652275732,512976232.574982,0
4004,M5,SIDO_NM,경상북도,amt,15,1107482459.97927,0.306381596778079,0.794062924302902,0.0954681963569734,3.4874029139992e+19,0
4004,M5,SIDO_NM,경상북도,cnt,15,28211.4510914291,0.295657806614482,0.834898380071395,0.00299106228009163,22216061745.3682,0
4004,M5,SIDO_NM,경상북도,ticket,15,9201.94427729429,0.255173723182864,-0.1138181716652,0.0544092561244295,2032863385.57256,0
4004,M5,SIDO_NM,광주광역시,amt,5,3208477905.28386,0.564736458954608,-0.790164927542067,0.463108968218486,8.83654111407674e+19,0
4004,M5,SIDO_NM,광주광역시,cnt,5,84819.9103144654,0.60875155069226,-0.75885269910303,0.550439748237422,54838428932.9846,0
4004,M5,SIDO_NM,광주광역시,ticket,5,12699.8190857068,0.29042134059434,-1.73827640903514,-0.214405739394366,1324936249.84317,0
4004,M5,SIDO_NM,대구광역시,amt,8,3003917669.0614,0.319548669711777,0.538353872207488,0.150800867056989,1.3051079433738e+20,0
4004,M5,SIDO_NM,대구광역시,cnt,8,97214.5325388664,0.356643257951245,0.441784532260946,0.0378526639136558,132801042926.66,0
4004,M5,SIDO_NM,대구광역시,ticket,8,9547.3952512104,0.265824934991824,-0.260491261084638,-0.0511728986346728,2022605727.05202,0
4004,M5,SIDO_NM,대전광역시,amt,5,4709413130.46227,0.896581927617645,-0.800918626739717,0.560481191923069,1.32914443123415e+20,0
4004,M5,SIDO_NM,대전광역시,cnt,5,103837.113854274,0.71909956214507,-0.348506180298947,0.478326970800328,65398467539.5777,0
4004,M5,SIDO_NM,대전광역시,ticket,5,7932.71664872046,0.243457152173498,-0.82546039141612,0.0848552966668356,620198862.133422,0
4004,M5,SIDO_NM,부산광역시,amt,16,8737086292.35672,0.663415495289966,-0.120491981620155,-0.509560487356903,5.56669974450892e+21,0
4004,M5,SIDO_NM,부산광역시,cnt,16,243869.671242198,0.639633302751216,-0.097615240192958,-0.498784604041315,4666122686745.06,0
4004,M5,SIDO_NM,부산광역시,ticket,16,8791.31084040098,0.281299522770615,0.132255988300743,-0.0131115089960538,2136725887.83559,0
4004,M5,SIDO_NM,서울특별시,amt,25,7702920050.25266,0.71906522326751,-1.64828165476363,0.520216270301564,3.23193502329883e+21,0
4004,M5,SIDO_NM,서울특별시,cnt,25,171072.144628548,0.457159466907885,-0.261224196237973,0.277059898412046,1304279364145.26,0
4004,M5,SIDO_NM,서울특별시,ticket,25,6059.62069941793,0.22496573848495,-0.174241356988812,0.0879523411110071,1256860597.17669,0
4004,M5,SIDO_NM,세종특별자치시,amt,1,12713735588.527,4.86748913215963,,4.86748913215963,1.61639072614978e+20,0
4004,M5,SIDO_NM,세종특별자치시,cnt,1,191132.100460964,1.15806053173961,,1.15806053173961,36531479826.62,0
