scope,industry,target,repeat,comparison,block,wape_gain_pp,sse_reduction
4004,대형할인점,amt,0,sequential,2,0.536543531327971,-0.00829364999419835
4004,대형할인점,amt,0,sequential,3,-1.21053519355426,-0.108538418643208
4004,대형할인점,amt,0,sequential,4,-2.65491491352686,-0.0927089030571682
4004,대형할인점,amt,0,sequential,5,-0.466922595086339,-0.00095690613874444
4004,대형할인점,amt,0,sequential,6,2.3880853791831,0.0879466605155913
4004,대형할인점,amt,0,sequential,7,-0.87408321110205,-0.0259991728211268
4004,대형할인점,amt,0,sequential,8,-2.07752667295413,-0.032791397489913
4004,대형할인점,amt,0,sequential,9,-3.4687131035223,-0.650398266778644
4004,대형할인점,amt,0,sequential,10,1.44812747645121,0.224484283584773
4004,대형할인점,amt,0,leave_one_block_out,1,2.99716445683321,-0.126166086433819
4004,대형할인점,amt,0,leave_one_block_out,2,2.76848244787128,0.384037000477711
4004,대형할인점,amt,0,leave_one_block_out,3,-2.59644698206778,-0.105626372792049
4004,대형할인점,amt,0,leave_one_block_out,4,-6.90958520787656,-0.587891392047741
4004,대형할인점,amt,0,leave_one_block_out,5,-2.01900139467378,-0.250315572684484
4004,대형할인점,amt,0,leave_one_block_out,6,3.8776343591115,0.180387534166536
4004,대형할인점,amt,0,leave_one_block_out,7,-0.902700495553677,-0.000296912743846578
4004,대형할인점,amt,0,leave_one_block_out,8,-3.2066372478385,-0.664529927958817
4004,대형할인점,amt,0,leave_one_block_out,9,-3.4687131035223,-0.650398266778644
4004,대형할인점,amt,1,sequential,2,3.28611216014713,0.0703762153521762
4004,대형할인점,amt,1,sequential,3,-2.38557287606294,-0.10350467289526
4004,대형할인점,amt,1,sequential,4,-2.45877166125474,-0.154762051926483
4004,대형할인점,amt,1,sequential,5,-0.767113781784357,-0.0168269557578695
4004,대형할인점,amt,1,sequential,6,2.3340960770769,0.0588383088062023
4004,대형할인점,amt,1,sequential,7,0.541568780197466,0.00519980116926488
4004,대형할인점,amt,1,sequential,8,-1.8598516742402,-0.0499040721268791
4004,대형할인점,amt,1,sequential,9,-6.32847434649677,-0.772694523368226
4004,대형할인점,amt,1,sequential,10,-0.260057169532535,0.0921081203341781
4004,대형할인점,amt,1,leave_one_block_out,1,5.13241591805985,-0.312117708187673
4004,대형할인점,amt,1,leave_one_block_out,2,-3.76841108627685,-0.314847105309007
4004,대형할인점,amt,1,leave_one_block_out,3,-0.0951672840387996,0.0440047897228942
4004,대형할인점,amt,1,leave_one_block_out,4,-7.95798859797024,-0.986182026820804
4004,대형할인점,amt,1,leave_one_block_out,5,-1.70308410942231,-0.20862129350302
4004,대형할인점,amt,1,leave_one_block_out,6,3.23516447733174,-0.0654656383798309
4004,대형할인점,amt,1,leave_one_block_out,7,-0.0927343044536011,0.00362444679804752
4004,대형할인점,amt,1,leave_one_block_out,8,-6.5322070757721,-0.958171285826045
4004,대형할인점,amt,1,leave_one_block_out,9,-6.32847434649677,-0.772694523368226
4004,대형할인점,amt,2,sequential,2,4.41523000919474,0.0909103495851387
4004,대형할인점,amt,2,sequential,3,-3.17132078681448,-0.163553068344635
4004,대형할인점,amt,2,sequential,4,-5.53207801115794,-0.352477426584506
4004,대형할인점,amt,2,sequential,5,-0.714396583963395,-0.00850299328639514
4004,대형할인점,amt,2,sequential,6,2.2654924171308,0.0625477436235964
4004,대형할인점,amt,2,sequential,7,-1.91427395274983,-0.0909953739786014
4004,대형할인점,amt,2,sequential,8,1.39032850908912,0.0736844115029305
4004,대형할인점,amt,2,sequential,9,1.96930057888343,0.0463077535878043
4004,대형할인점,amt,2,sequential,10,1.02924493223382,0.081031393092035
4004,대형할인점,amt,2,leave_one_block_out,1,9.20696401075262,0.0926801525716564
4004,대형할인점,amt,2,leave_one_block_out,2,0.134979656200396,0.0636312910062126
4004,대형할인점,amt,2,leave_one_block_out,3,-2.12210386798466,-0.064402492633848
4004,대형할인점,amt,2,leave_one_block_out,4,-6.84373771626515,-0.384856038166014
4004,대형할인점,amt,2,leave_one_block_out,5,-0.375993474508163,-0.0531994615233597
4004,대형할인점,amt,2,leave_one_block_out,6,1.83892277181618,0.0598932433334081
4004,대형할인점,amt,2,leave_one_block_out,7,-1.84701378350967,-0.0416977323965131
4004,대형할인점,amt,2,leave_one_block_out,8,-2.26348252485646,-0.193192125526753
4004,대형할인점,amt,2,leave_one_block_out,9,1.96930057888343,0.0463077535878043
4004,대형할인점,amt,3,sequential,2,1.62779735248478,0.0277077255644554
4004,대형할인점,amt,3,sequential,3,-0.534093324190277,-0.0887489971209452
4004,대형할인점,amt,3,sequential,4,-3.63769025593843,-0.197712617063793
4004,대형할인점,amt,3,sequential,5,-1.19025565797668,-0.00600740068394279
4004,대형할인점,amt,3,sequential,6,-0.347821913269519,-0.00745079004019789
4004,대형할인점,amt,3,sequential,7,-0.19961904070277,-0.00567738021251896
4004,대형할인점,amt,3,sequential,8,-0.653673598406757,-0.0478072500473525
4004,대형할인점,amt,3,sequential,9,-1.99699404597334,-0.481745139982688
