scope,model,family,feature,first_block
core9,M1,log_ridge_smear,log_population,1
core9,M2,log_ridge_smear,log_population,1
core9,M2,log_ridge_smear,share_u20,2
core9,M2,log_ridge_smear,share_20s,2
core9,M2,log_ridge_smear,share_30s,2
core9,M2,log_ridge_smear,share_40s,2
core9,M2,log_ridge_smear,share_50s,2
core9,M2,log_ridge_smear,female_share,2
core9,M2,log_ridge_smear,hh1_share,2
core9,M2,log_ridge_smear,hh2_share,2
core9,M3,log_ridge_smear,log_population,1
core9,M3,log_ridge_smear,share_u20,2
core9,M3,log_ridge_smear,share_20s,2
core9,M3,log_ridge_smear,share_30s,2
core9,M3,log_ridge_smear,share_40s,2
core9,M3,log_ridge_smear,share_50s,2
core9,M3,log_ridge_smear,female_share,2
core9,M3,log_ridge_smear,hh1_share,2
core9,M3,log_ridge_smear,hh2_share,2
core9,M3,log_ridge_smear,log_est_per_population,3
core9,M3,log_ridge_smear,log_emp_per_population,3
core9,M4,log_ridge_smear,log_population,1
core9,M4,log_ridge_smear,share_u20,2
core9,M4,log_ridge_smear,share_20s,2
core9,M4,log_ridge_smear,share_30s,2
core9,M4,log_ridge_smear,share_40s,2
core9,M4,log_ridge_smear,share_50s,2
core9,M4,log_ridge_smear,female_share,2
core9,M4,log_ridge_smear,hh1_share,2
core9,M4,log_ridge_smear,hh2_share,2
core9,M4,log_ridge_smear,log_est_per_population,3
core9,M4,log_ridge_smear,log_emp_per_population,3
core9,M4,log_ridge_smear,est_share_G,4
core9,M4,log_ridge_smear,est_share_I,4
core9,M4,log_ridge_smear,emp_share_G,4
core9,M4,log_ridge_smear,emp_share_I,4
core9,M4,log_ridge_smear,emp_share_C,4
core9,M4,log_ridge_smear,emp_share_M,4
core9,M5,log_ridge_smear,log_population,1
core9,M5,log_ridge_smear,share_u20,2
core9,M5,log_ridge_smear,share_20s,2
core9,M5,log_ridge_smear,share_30s,2
core9,M5,log_ridge_smear,share_40s,2
core9,M5,log_ridge_smear,share_50s,2
core9,M5,log_ridge_smear,female_share,2
core9,M5,log_ridge_smear,hh1_share,2
core9,M5,log_ridge_smear,hh2_share,2
core9,M5,log_ridge_smear,log_est_per_population,3
core9,M5,log_ridge_smear,log_emp_per_population,3
core9,M5,log_ridge_smear,est_share_G,4
core9,M5,log_ridge_smear,est_share_I,4
core9,M5,log_ridge_smear,emp_share_G,4
core9,M5,log_ridge_smear,emp_share_I,4
core9,M5,log_ridge_smear,emp_share_C,4
core9,M5,log_ridge_smear,emp_share_M,4
core9,M5,log_ridge_smear,log_inflow_per_population,5
core9,M5,log_ridge_smear,log_in_out_ratio,5
core9,M6,log_ridge_smear,log_population,1
core9,M6,log_ridge_smear,share_u20,2
core9,M6,log_ridge_smear,share_20s,2
core9,M6,log_ridge_smear,share_30s,2
core9,M6,log_ridge_smear,share_40s,2
core9,M6,log_ridge_smear,share_50s,2
core9,M6,log_ridge_smear,female_share,2
core9,M6,log_ridge_smear,hh1_share,2
core9,M6,log_ridge_smear,hh2_share,2
core9,M6,log_ridge_smear,log_est_per_population,3
core9,M6,log_ridge_smear,log_emp_per_population,3
core9,M6,log_ridge_smear,est_share_G,4
core9,M6,log_ridge_smear,est_share_I,4
core9,M6,log_ridge_smear,emp_share_G,4
core9,M6,log_ridge_smear,emp_share_I,4
core9,M6,log_ridge_smear,emp_share_C,4
core9,M6,log_ridge_smear,emp_share_M,4
core9,M6,log_ridge_smear,log_inflow_per_population,5
core9,M6,log_ridge_smear,log_in_out_ratio,5
core9,M6,log_ridge_smear,supply_narrow_4004,6
core9,M6,log_ridge_smear,supply_narrow_4010,6
core9,M6,log_ridge_smear,supply_narrow_4020,6
core9,M6,log_ridge_smear,supply_narrow_8001,6
core9,M6,log_ridge_smear,supply_narrow_8004,6
core9,M6,log_ridge_smear,supply_narrow_8005,6
core9,M6,log_ridge_smear,supply_narrow_8006,6
core9,M6,log_ridge_smear,supply_narrow_8021,6
core9,M6,log_ridge_smear,supply_narrow_8301,6
core9,M7,log_ridge_smear,log_population,1
core9,M7,log_ridge_smear,share_u20,2
core9,M7,log_ridge_smear,share_20s,2
core9,M7,log_ridge_smear,share_30s,2
core9,M7,log_ridge_smear,share_40s,2
core9,M7,log_ridge_smear,share_50s,2
core9,M7,log_ridge_smear,female_share,2
core9,M7,log_ridge_smear,hh1_share,2
core9,M7,log_ridge_smear,hh2_share,2
core9,M7,log_ridge_smear,log_est_per_population,3
core9,M7,log_ridge_smear,log_emp_per_population,3
core9,M7,log_ridge_smear,est_share_G,4
core9,M7,log_ridge_smear,est_share_I,4
core9,M7,log_ridge_smear,emp_share_G,4
core9,M7,log_ridge_smear,emp_share_I,4
core9,M7,log_ridge_smear,emp_share_C,4
core9,M7,log_ridge_smear,emp_share_M,4
core9,M7,log_ridge_smear,log_inflow_per_population,5
core9,M7,log_ridge_smear,log_in_out_ratio,5
core9,M7,log_ridge_smear,supply_narrow_4004,6
core9,M7,log_ridge_smear,supply_narrow_4010,6
core9,M7,log_ridge_smear,supply_narrow_4020,6
core9,M7,log_ridge_smear,supply_narrow_8001,6
