scenario,scope,industry,model,family,target,repeat,alpha,n,mae,wape,r2_original,bias,sse,nonpositive
main,core9,core9,M1,log_ridge_smear,amt,0,1,251,16326607033.5568,0.279587180881828,0.717037405265687,0.0475776914584804,1.65890226875263e+23,0
main,core9,core9,M1,log_ridge_smear,cnt,0,1,251,913956.003897261,0.288261808860289,0.708666804467025,0.0553154779396868,567706422701915,0
main,core9,core9,M1,log_ridge_smear,ticket,0,1,251,2211.48304893751,0.110280847235319,0.302590947158771,-0.000234725980395061,2027730801.93752,0
main,core9,core9,M1,log_ridge_smear,amt,1,1,251,16510378522.9623,0.282734200501014,0.710019152061392,0.0491740324204588,1.70004762287343e+23,0
main,core9,core9,M1,log_ridge_smear,cnt,1,1,251,921500.562318934,0.290641363290053,0.701058976600106,0.0560307354197117,582531416245679,0
main,core9,core9,M1,log_ridge_smear,ticket,1,1,251,2226.3375731977,0.111021603318201,0.287965801838807,0.00043369895057973,2070253705.14229,0
main,core9,core9,M1,log_ridge_smear,amt,2,1,251,16327718092.7588,0.27960620736476,0.710448455678718,0.047145061318064,1.69753077874626e+23,0
main,core9,core9,M1,log_ridge_smear,cnt,2,1,251,915500.481564413,0.288748937260539,0.697804222603186,0.0545156238155263,588873792523761,0
main,core9,core9,M1,log_ridge_smear,ticket,2,1,251,2228.18811152579,0.111113884800874,0.294573896319086,0.000305566223413419,2051040537.96991,0
main,core9,core9,M1,log_ridge_smear,amt,3,1,251,16265410327.4036,0.278539209645828,0.719084142431223,0.0441188969243774,1.64690302577623e+23,0
main,core9,core9,M1,log_ridge_smear,cnt,3,1,251,912600.00053752,0.287834125274172,0.71384199953271,0.0518953998006802,557621778993017,0
main,core9,core9,M1,log_ridge_smear,ticket,3,1,251,2221.37232160896,0.110773999271584,0.294693229948506,-5.07335602044105e-05,2050693573.05011,0
main,core9,core9,M1,log_ridge_smear,amt,4,1,251,16289553837.8244,0.278952658441483,0.715261038867941,0.0473327867651331,1.66931643056127e+23,0
main,core9,core9,M1,log_ridge_smear,cnt,4,1,251,917646.08837751,0.289425661849478,0.704333060261622,0.055839766641794,576151373217264,0
main,core9,core9,M1,log_ridge_smear,ticket,4,1,251,2220.18501953148,0.110714791637552,0.295888312988875,0.000278440837861573,2047218845.15268,0
main,core9,core9,M1,log_ridge_smear,amt,5,1,251,16345316169.797,0.279907568004968,0.718324921221766,0.0475068555846314,1.65135405149585e+23,0
main,core9,core9,M1,log_ridge_smear,cnt,5,1,251,919753.789584707,0.290090431006782,0.707157669973529,0.0555980599349277,570647197587219,0
main,core9,core9,M1,log_ridge_smear,ticket,5,1,251,2254.78974666091,0.112440438428294,0.281975129882365,7.264022712885e-05,2087671703.9493,0
main,core9,core9,M1,log_ridge_smear,amt,6,1,251,16371122044.0077,0.280349484173216,0.717056282545826,0.0467252515214592,1.65879159842576e+23,0
main,core9,core9,M1,log_ridge_smear,cnt,6,1,251,919914.797733126,0.290141212991808,0.709193947424158,0.0543241557045763,566679205594372,0
main,core9,core9,M1,log_ridge_smear,ticket,6,1,251,2219.39474249119,0.110675382598628,0.298491321530128,-0.000192157778786366,2039650545.63706,0
main,core9,core9,M1,log_ridge_smear,amt,7,1,251,16417566754.9912,0.281144832881253,0.713393299178911,0.0453985481785776,1.68026627928767e+23,0
main,core9,core9,M1,log_ridge_smear,cnt,7,1,251,919717.615672996,0.290079021751655,0.706194334034663,0.0532914398710574,572524402135480,0
main,core9,core9,M1,log_ridge_smear,ticket,7,1,251,2218.23580519371,0.110617589441625,0.295305752384155,-0.000144589569741933,2048912651.78936,0
main,core9,core9,M1,log_ridge_smear,amt,8,1,251,16229356906.6651,0.277921807987009,0.719302726219019,0.0463201435554827,1.64562155201173e+23,0
main,core9,core9,M1,log_ridge_smear,cnt,8,1,251,910631.405383637,0.287213230179056,0.711337736331843,0.0547170399459142,562501711403972,0
