scope,model,family,target,repeat,wape_new,wape_old,mae_new,mae_old,r2_original_new,r2_original_old
all11_observed,M1,log_ridge_smear,amt,0,0.279965063494305,0.279965063494,16359568164.8165,16359568164.8,0.716416411094098,0.716416411094
all11_observed,M1,log_ridge_smear,cnt,0,0.288336969712099,0.288336969712,914339.269371322,914339.269371,0.708525325038359,0.708525325038
all11_observed,M1,log_ridge_smear,ticket,0,0.110295779486181,0.110295779486,2212.85147551241,2212.85147551,0.302406972845325,0.302406972845
all11_observed,M1,log_ridge_smear,amt,1,0.283112785677722,0.283112785678,16543503170.7804,16543503170.8,0.709338431672483,0.709338431673
all11_observed,M1,log_ridge_smear,cnt,1,0.290712043625707,0.290712043626,921870.816051026,921870.816051,0.700905407986229,0.700905407986
all11_observed,M1,log_ridge_smear,ticket,1,0.111050137373187,0.111050137373,2227.98607060845,2227.98607061,0.287710462269363,0.28771046227
all11_observed,M1,log_ridge_smear,amt,2,0.279970453784565,0.279970453785,16359883142.7635,16359883142.8,0.709801058285775,0.709801058286
all11_observed,M1,log_ridge_smear,cnt,2,0.288821770678642,0.288821770679,915876.611467906,915876.611468,0.697658673607299,0.697658673607
all11_observed,M1,log_ridge_smear,ticket,2,0.11113527814591,0.111135278146,2229.69424009077,2229.69424009,0.294270844195445,0.294270844196
all11_observed,M1,log_ridge_smear,amt,3,0.278903359746274,0.278903359746,16297528228.0474,16297528228,0.718457783191567,0.718457783192
all11_observed,M1,log_ridge_smear,cnt,3,0.287904214529582,0.28790421453,912966.968560248,912966.96856,0.713698077316709,0.713698077317
all11_observed,M1,log_ridge_smear,ticket,3,0.110792850848729,0.110792850849,2222.8241608062,2222.82416081,0.29448845664305,0.294488456643
all11_observed,M1,log_ridge_smear,amt,4,0.279328720785799,0.279328720786,16322383911.2312,16322383911.2,0.714593291431507,0.714593291432
all11_observed,M1,log_ridge_smear,cnt,4,0.28949901834656,0.289499018347,918024.217231003,918024.217231,0.704181905981741,0.704181905982
all11_observed,M1,log_ridge_smear,ticket,4,0.110728543239369,0.110728543239,2221.53396467249,2221.53396467,0.295580484834428,0.295580484835
all11_observed,M1,log_ridge_smear,amt,5,0.280292112385448,0.280292112385,16378679044.4423,16378679044.4,0.717669177646585,0.717669177647
all11_observed,M1,log_ridge_smear,cnt,5,0.290159579851203,0.290159579851,920118.909854475,920118.909854,0.707011927798139,0.707011927798
all11_observed,M1,log_ridge_smear,ticket,5,0.112515759915704,0.112515759916,2257.3906862779,2257.39068628,0.281605437295827,0.281605437296
all11_observed,M1,log_ridge_smear,amt,6,0.280760771826845,0.280760771827,16406064840.3053,16406064840.3,0.716402166067673,0.716402166068
all11_observed,M1,log_ridge_smear,cnt,6,0.290215053009822,0.29021505301,920294.819615098,920294.819615,0.709044505823512,0.709044505824
all11_observed,M1,log_ridge_smear,ticket,6,0.110687422155766,0.110687422156,2220.70895712506,2220.70895712,0.298265275178542,0.298265275179
all11_observed,M1,log_ridge_smear,amt,7,0.281564761103329,0.281564761103,16453045407.1241,16453045407.1,0.712732338127848,0.712732338128
all11_observed,M1,log_ridge_smear,cnt,7,0.290157888843248,0.290157888843,920113.547534895,920113.547535,0.706045070497583,0.706045070498
all11_observed,M1,log_ridge_smear,ticket,7,0.11071503730509,0.110715037305,2221.26299667409,2221.26299667,0.294835880487419,0.294835880488
all11_observed,M1,log_ridge_smear,amt,8,0.278297289811539,0.278297289812,16262112943.4179,16262112943.4,0.718663547016039,0.718663547016
all11_observed,M1,log_ridge_smear,cnt,8,0.287286945066137,0.287286945066,911009.558413448,911009.558413,0.711189072816445,0.711189072816
all11_observed,M1,log_ridge_smear,ticket,8,0.110930776212209,0.110930776212,2225.59134143187,2225.59134143,0.294878420166123,0.294878420166
all11_observed,M1,log_ridge_smear,amt,9,0.282412113990653,0.282412113991,16502559897.0637,16502559897.1,0.714848416818874,0.714848416819
all11_observed,M1,log_ridge_smear,cnt,9,0.290704603937175,0.290704603937,921847.224211994,921847.224212,0.708889468840705,0.708889468841
all11_observed,M1,log_ridge_smear,ticket,9,0.110858106437384,0.110858106437,2224.13337613895,2224.13337614,0.29551694222091,0.295516942221
all11_observed,M2,log_ridge_smear,amt,0,0.267858773589281,0.26785877359,15652145344.0819,15652145344.1,0.743836932081611,0.743836932081
all11_observed,M2,log_ridge_smear,cnt,0,0.274632354368019,0.274632354368,870880.853361634,870880.853361,0.738544149366186,0.738544149366
all11_observed,M2,log_ridge_smear,ticket,0,0.0959877090170415,0.095987709017,1925.79031146,1925.79031146,0.427863002904535,0.427863002905
all11_observed,M2,log_ridge_smear,amt,1,0.266776558535432,0.266776558535,15588906843.1009,15588906843.1,0.73806992368966,0.73806992369
all11_observed,M2,log_ridge_smear,cnt,1,0.270932676031933,0.270932676032,859148.881599211,859148.881599,0.735744430132146,0.735744430133
all11_observed,M2,log_ridge_smear,ticket,1,0.0975142154036772,0.0975142154036,1956.41643265686,1956.41643265,0.406503437225453,0.406503437226
all11_observed,M2,log_ridge_smear,amt,2,0.258342384892016,0.258342384892,15096061639.8058,15096061639.8,0.747721609853979,0.747721609854
all11_observed,M2,log_ridge_smear,cnt,2,0.265007052867398,0.265007052867,840358.26324652,840358.263246,0.748937157478939,0.748937157479
all11_observed,M2,log_ridge_smear,ticket,2,0.0977305778164797,0.0977305778164,1960.75728673709,1960.75728674,0.417962019233488,0.417962019235
all11_observed,M2,log_ridge_smear,amt,3,0.270111835578027,0.270111835578,15783801489.7609,15783801489.7,0.732670059285824,0.732670059286
all11_observed,M2,log_ridge_smear,cnt,3,0.270629712480881,0.270629712481,858188.160286949,858188.160286,0.72693426753722,0.726934267538
all11_observed,M2,log_ridge_smear,ticket,3,0.0958432195699949,0.0958432195699,1922.89143638443,1922.89143638,0.434998014168262,0.43499801417
all11_observed,M2,log_ridge_smear,amt,4,0.258803738330805,0.258803738331,15123020514.3731,15123020514.4,0.75091549777635,0.750915497777
all11_observed,M2,log_ridge_smear,cnt,4,0.264943099880724,0.26494309988,840155.463282408,840155.463281,0.742620461657369,0.742620461659
all11_observed,M2,log_ridge_smear,ticket,4,0.0960468153537943,0.0960468153537,1926.97615506258,1926.97615506,0.428576270886073,0.428576270887
all11_observed,M2,log_ridge_smear,amt,5,0.261732627321167,0.261732627321,15294168151.4638,15294168151.5,0.750915052573918,0.750915052574
all11_observed,M2,log_ridge_smear,cnt,5,0.262906201592063,0.262906201592,833696.298178131,833696.298177,0.750969282104885,0.750969282106
all11_observed,M2,log_ridge_smear,ticket,5,0.0977101296398826,0.0977101296398,1960.34703733349,1960.34703733,0.417834699939215,0.41783469994
all11_observed,M2,log_ridge_smear,amt,6,0.264294118246064,0.264294118246,15443847132.3566,15443847132.3,0.737652012313739,0.737652012314
all11_observed,M2,log_ridge_smear,cnt,6,0.273584675116178,0.273584675116,867558.579833479,867558.579831,0.716934468000673,0.716934468002
all11_observed,M2,log_ridge_smear,ticket,6,0.098097050621647,0.0980970506216,1968.10978826913,1968.10978827,0.412206696040409,0.412206696041
all11_observed,M2,log_ridge_smear,amt,7,0.262664904257785,0.262664904258,15348645120.4925,15348645120.5,0.742301948620661,0.742301948621
all11_observed,M2,log_ridge_smear,cnt,7,0.268817098734003,0.268817098734,852440.219151867,852440.219151,0.733962954784989,0.733962954786
all11_observed,M2,log_ridge_smear,ticket,7,0.0970116210505801,0.0970116210505,1946.33294024204,1946.33294024,0.415301951955797,0.415301951956
all11_observed,M2,log_ridge_smear,amt,8,0.264636825686957,0.264636825687,15463873008.6923,15463873008.7,0.743797025647031,0.743797025647
all11_observed,M2,log_ridge_smear,cnt,8,0.269237412677087,0.269237412677,853773.067811578,853773.067811,0.739334573533222,0.739334573534
all11_observed,M2,log_ridge_smear,ticket,8,0.096662107257277,0.0966621072572,1939.32068540486,1939.3206854,0.432608356314165,0.432608356315
all11_observed,M2,log_ridge_smear,amt,9,0.261971324982876,0.261971324983,15308116287.0589,15308116287.1,0.750490331290256,0.75049033129
all11_observed,M2,log_ridge_smear,cnt,9,0.266064117281094,0.266064117281,843710.297863039,843710.297863,0.746944555844755,0.746944555845
all11_observed,M2,log_ridge_smear,ticket,9,0.0976739561883256,0.0976739561883,1959.62129355594,1959.62129355,0.40921419842089,0.409214198421
all11_observed,M3,log_ridge_smear,amt,0,0.202922439941856,0.202922439942,11857634831.166,11857634831.2,0.852620482331512,0.852620482331
all11_observed,M3,log_ridge_smear,cnt,0,0.21029446012293,0.210294460123,666860.316988231,666860.316989,0.845677426503717,0.845677426504
all11_observed,M3,log_ridge_smear,ticket,0,0.0927170887733163,0.0927170887733,1860.17223553829,1860.17223554,0.461930239831791,0.461930239833
all11_observed,M3,log_ridge_smear,amt,1,0.214869192116149,0.214869192116,12555735173.0591,12555735173.1,0.830519805409375,0.830519805409
all11_observed,M3,log_ridge_smear,cnt,1,0.218131653664227,0.218131653665,691712.675753138,691712.675754,0.830303827730403,0.83030382773
all11_observed,M3,log_ridge_smear,ticket,1,0.0950312034654718,0.0950312034654,1906.60005113465,1906.60005113,0.436397196000462,0.436397196001
all11_observed,M3,log_ridge_smear,amt,2,0.205791466771306,0.205791466772,12025284463.5782,12025284463.6,0.84802384600607,0.848023846006
