source,rows,matched_regions,unit,note,selected,unmatched_rows,area_missing_rate,duplicates_removed
land,8178,252,2025 square metres / 1e6,"계-면적; 대 is building land, not exclusively commercial",,,,
urban,229,252,2024 area m2; component columns m2/person,"components reconstructed from rounded m2/person; population denominator 2026 midpoint, cross-year proxy; legal area may include water",,,,
nts_earned_income_by_residence_municipality_2024.xlsx,229,252,amount million KRW; converted x1000000,general-gu totals and filer/pop ratio left missing; only mean pay shared,,,,
nts_earned_income_by_workplace_municipality_2024.xlsx,229,252,amount million KRW; converted x1000000,general-gu totals and filer/pop ratio left missing; only mean pay shared,,,,
LOCALDATA_narrow,4184,,stores; area m2,"possible H1 operation, not verified daily exposure; no June closure history guaranteed",405,0,0.0691358024691358,
LOCALDATA_broad,4184,,stores; area m2,"possible H1 operation, not verified daily exposure; no June closure history guaranteed",1015,0,0.0551724137931034,
소상공인시장진흥공단_상가(상권)정보_강원_202603.csv,108009,,unique store IDs at March 2026 snapshot,"snapshot, not exact H1 operating exposure",,0,,
소상공인시장진흥공단_상가(상권)정보_경기_202603.csv,671649,,unique store IDs at March 2026 snapshot,"snapshot, not exact H1 operating exposure",,0,,
소상공인시장진흥공단_상가(상권)정보_경남_202603.csv,168714,,unique store IDs at March 2026 snapshot,"snapshot, not exact H1 operating exposure",,0,,
소상공인시장진흥공단_상가(상권)정보_경북_202603.csv,141828,,unique store IDs at March 2026 snapshot,"snapshot, not exact H1 operating exposure",,0,,
소상공인시장진흥공단_상가(상권)정보_광주_202603.csv,75325,,unique store IDs at March 2026 snapshot,"snapshot, not exact H1 operating exposure",,0,,
소상공인시장진흥공단_상가(상권)정보_대구_202603.csv,115634,,unique store IDs at March 2026 snapshot,"snapshot, not exact H1 operating exposure",,0,,
소상공인시장진흥공단_상가(상권)정보_대전_202603.csv,78607,,unique store IDs at March 2026 snapshot,"snapshot, not exact H1 operating exposure",,0,,
소상공인시장진흥공단_상가(상권)정보_부산_202603.csv,155103,,unique store IDs at March 2026 snapshot,"snapshot, not exact H1 operating exposure",,0,,
소상공인시장진흥공단_상가(상권)정보_서울_202603.csv,537489,,unique store IDs at March 2026 snapshot,"snapshot, not exact H1 operating exposure",,0,,
소상공인시장진흥공단_상가(상권)정보_세종_202603.csv,15423,,unique store IDs at March 2026 snapshot,"snapshot, not exact H1 operating exposure",,0,,
소상공인시장진흥공단_상가(상권)정보_울산_202603.csv,53466,,unique store IDs at March 2026 snapshot,"snapshot, not exact H1 operating exposure",,0,,
소상공인시장진흥공단_상가(상권)정보_인천_202603.csv,135852,,unique store IDs at March 2026 snapshot,"snapshot, not exact H1 operating exposure",,0,,
소상공인시장진흥공단_상가(상권)정보_전남_202603.csv,99717,,unique store IDs at March 2026 snapshot,"snapshot, not exact H1 operating exposure",,0,,
소상공인시장진흥공단_상가(상권)정보_전북_202603.csv,97422,,unique store IDs at March 2026 snapshot,"snapshot, not exact H1 operating exposure",,0,,
소상공인시장진흥공단_상가(상권)정보_제주_202603.csv,57528,,unique store IDs at March 2026 snapshot,"snapshot, not exact H1 operating exposure",,0,,
소상공인시장진흥공단_상가(상권)정보_충남_202603.csv,121826,,unique store IDs at March 2026 snapshot,"snapshot, not exact H1 operating exposure",,0,,
소상공인시장진흥공단_상가(상권)정보_충북_202603.csv,91726,,unique store IDs at March 2026 snapshot,"snapshot, not exact H1 operating exposure",,0,,
store_deduplication,2725318,,,,,,,0
